N_SQ_VO;C_COINSEE;C_DESI;C_LIAISON;L_VOIE;L_COURTMIN;L_LONGMIN;C_VOIE;B_FANTOIR;B_OFF;C_VOIE_VP;Geometry;OBJECTID;C_DOMOFF;N_SQ_CO;LENGTH;Geometry X Y
750002843;75056;RUE;DE LA;PLAINE;R. de la Plaine;Rue de la Plaine;750567508;O;O;7461;"{""coordinates"": [[2.399105530975483, 48.84979943060508], [2.400752221439526, 48.84999007803679], [2.4010758855227192, 48.850016430851326], [2.40135605392528, 48.850024722022994], [2.402102011271636, 48.84995343709935], [2.402268090905682, 48.849942638297684], [2.402489542560797, 48.84994935638378], [2.4029716556794876, 48.849966071763845], [2.4037577338818825, 48.85004563615453], [2.4044605930365326, 48.8501560246488], [2.405461131362796, 48.850321768706685], [2.406165929868481, 48.850440790528886], [2.4064096627401312, 48.85050754469589], [2.4065638414868413, 48.85054503001131], [2.4073611738949716, 48.85067754425006]], ""type"": ""LineString""}";2887;P;750001537;;48.85012862187694, 2.4032448013046728
750003695;75056;VLA;;DELODER;Vla. Deloder;Villa Deloder;750562681;O;O;2691;"{""coordinates"": [[2.3593993468329284, 48.82304814552175], [2.359625709996289, 48.82273401816174]], ""type"": ""LineString""}";2954;P;750001537;;48.822891081841746, 2.3595125284146086
750004817;75056;AV;DU;DOCTEUR BROUARDEL;Av. du Docteur Brouardel;Avenue du Docteur Brouardel;750562822;O;O;2841;"{""coordinates"": [[2.2959398808806752, 48.85581272541691], [2.2957547139834165, 48.85527632918291], [2.2956299665447806, 48.8547077672677], [2.295539783938836, 48.85459790138109]], ""type"": ""LineString""}";2984;P;750001537;;48.85519743371658, 2.295748589870767
750001687;75056;RUE;DU;DOCTEUR GERMAIN SEE;R. du Docteur Germain Sée;Rue du Docteur Germain Sée;750562832;O;O;2852;"{""coordinates"": [[2.2810537453247477, 48.85288863703775], [2.280634639489158, 48.85310905169112], [2.2802610899831754, 48.85352090703201], [2.280046001949378, 48.85372024243012], [2.2793799489919184, 48.85449526791659]], ""type"": ""LineString""}";2988;P;750001537;;48.853634872674704, 2.280170806150143
750006553;75056;RUE;;CHORON;R. Choron;Rue Choron;750562021;O;O;2011;"{""coordinates"": [[2.3422859754962913, 48.877323056116886], [2.342238041527371, 48.877319357289956], [2.3408429197246705, 48.87756395612979], [2.3407709298977624, 48.87758103380184], [2.339636386166907, 48.87776308354868], [2.339506817973089, 48.87779072478652]], ""type"": ""LineString""}";2998;P;750001537;;48.877552666890615, 2.340896327747122
750003885;75056;IMP;;CANART;Imp. Canart;Impasse Canart;750561480;O;O;1474;"{""coordinates"": [[2.408162251373771, 48.84627266650856], [2.4082414036289124, 48.846263443943144], [2.408853198529387, 48.84582457957177]], ""type"": ""LineString""}";3013;P;750001537;;48.84606545453853, 2.4085142364495566
750003767;75056;RUE;;CLOTILDE DE VAUX;R. Clotilde de Vaux;Rue Clotilde de Vaux;750562146;O;O;2146;"{""coordinates"": [[2.368059599597384, 48.85762408190497], [2.3682825734654087, 48.85768862732684], [2.3686820452814357, 48.85772665548799]], ""type"": ""LineString""}";3024;P;750001537;;48.857688846025745, 2.3683682536501545
750003157;75056;PAS;;LISA;Pas. Lisa;Passage Lisa;750565705;O;O;5646;"{""coordinates"": [[2.3767669270184624, 48.858227451510395], [2.377523489409925, 48.85848715479033]], ""type"": ""LineString""}";3045;P;750001537;;48.85835730315036, 2.377145208214194
750003928;75056;PAS;;BRADY;Pas. Brady;Passage Brady;750561252;O;O;1261;"{""coordinates"": [[2.356669638329472, 48.87087604600769], [2.356456379696232, 48.870930973414374], [2.3553224757860067, 48.87122301155629], [2.3551268901072415, 48.871256429653506], [2.353655329779757, 48.8716331757695]], ""type"": ""LineString""}";3085;V;750001537;;48.8712548223209, 2.3551625525507496
750004842;75056;RUE;D';ECOSSE;R. d'Ecosse;Rue d'Ecosse;750563104;O;O;3134;"{""coordinates"": [[2.3466218111537285, 48.84832239253671], [2.346474600767481, 48.848027615194034]], ""type"": ""LineString""}";3097;P;750001537;;48.84817500386537, 2.3465482059606044
