L_LONGMIN;Geometry;display;catégorie;;;
Rue de Varenne;"{""coordinates"": [[2.327151140524828, 48.853176847881905], [2.3264024067881746, 48.85335502463502], [2.3261767433708362, 48.85342162845376], [2.3256069302797764, 48.85355467070047], [2.323854743761279, 48.85399504489448], [2.3217747745520088, 48.85450720219841], [2.3199501466038432, 48.854949132130216], [2.319214179515793, 48.855133101328676], [2.318053250613132, 48.855418349525706], [2.31688113446367, 48.85570764164017], [2.315031765947232, 48.85615999470266]], ""type"": ""LineString""}";true;personne;;;
Place Vauban;"{""coordinates"": [[[2.3130127695672384, 48.85332041202383], [2.312701022717798, 48.85319291851071], [2.3125120452722654, 48.85316850351825], [2.3123144411542307, 48.85316577612377], [2.3121330416944903, 48.85318469916838], [2.3119404634052803, 48.85323070926723], [2.3116746685177616, 48.85335645764324], [2.3115741801012972, 48.85346929752152], [2.311508447820651, 48.853577732588114], [2.3114026975791027, 48.85386076340029]], [[2.3133548816389906, 48.853741674162116], [2.3132800042774484, 48.85358358711728], [2.313214499076543, 48.85349410282067], [2.3131157479094018, 48.85339371628456], [2.3130127695672384, 48.85332041202383]], [[2.3127638444923213, 48.85378129725841], [2.3130127695672384, 48.85332041202383]], [[2.3121415828130445, 48.85382301331689], [2.3116746685177616, 48.85335645764324]]], ""type"": ""MultiLineString""}";true;personne;;;
Rue de Tunis;"{""coordinates"": [[2.3956741037432985, 48.84943419717663], [2.395525486422805, 48.849831032345165], [2.395172297431502, 48.85076610282233]], ""type"": ""LineString""}";true;bataille;;;
Avenue de Suffren;"{""coordinates"": [[[2.3086235714901426, 48.84632548905532], [2.3085327069877355, 48.84604319323764]], [[2.3086235714901426, 48.84632548905532], [2.308977126678591, 48.846132504691624], [2.3094593563490027, 48.84582938845762], [2.3095726404301247, 48.84575072737065]], [[2.296629608508373, 48.85389883781774], [2.2969485551574227, 48.85369420149345], [2.2973889040675957, 48.85341163727956], [2.2979234173398573, 48.853068656391684], [2.298355877902916, 48.85279220284853], [2.299183215870499, 48.85226333555086], [2.2993223020520386, 48.85217442998327], [2.3002791498028117, 48.85156275371796], [2.300883958823091, 48.85117610167033], [2.3012272089131858, 48.851061082024046], [2.3020590771728533, 48.8505254935876], [2.3037460479494682, 48.849439288850505], [2.304555655964323, 48.84892073084772], [2.305829097592603, 48.848105056860284], [2.30614931411587, 48.84789994405536], [2.307339707726158, 48.84713937049244], [2.3074096353404725, 48.847097757078], [2.3086235714901426, 48.84632548905532]], [[2.2957457137191435, 48.8544659905628], [2.295852433639011, 48.85434855085555], [2.296629608508373, 48.85389883781774]], [[2.2957457137191435, 48.8544659905628], [2.2959270374195513, 48.85440505586436], [2.296629608508373, 48.85389883781774]], [[2.291033972530806, 48.85747835480789], [2.291919537097155, 48.85691324425308], [2.292935320775699, 48.856265031436564], [2.2930791855901695, 48.856174075047875], [2.294036460086547, 48.85556089667341], [2.295366628363706, 48.85470881596018], [2.295539783938836, 48.85459790138109], [2.2957457137191435, 48.8544659905628]]], ""type"": ""MultiLineString""}";true;personne;;;
Rue de Surène;"{""coordinates"": [[2.3226934735443003, 48.87042223553352], [2.3214827108202183, 48.87069680950702], [2.3213726904436394, 48.87073879663924], [2.3213105184756664, 48.87075803181479], [2.3200365937165173, 48.871174491003245], [2.318448247583024, 48.87169646520994]], ""type"": ""LineString""}";true;paix;;;
Passage Marie Rogissart;"{""coordinates"": [[2.3856287268343577, 48.847215276357204], [2.3853286069699204, 48.8476164212695]], ""type"": ""LineString""}";true;personne;;;
Allée Hanna Kamieniecki;"{""coordinates"": [[2.3836000679235356, 48.866258441438085], [2.3848568206872387, 48.86514125293978]], ""type"": ""LineString""}";true;résistant;;;
Rue Pelleport;"{""coordinates"": [[2.406331599432304, 48.86234528181712], [2.4059075346794696, 48.8625137105986], [2.4057673119606244, 48.86255219874094], [2.4054372306667835, 48.86264995455188], [2.4049770141072497, 48.862803828931376], [2.4046249934540778, 48.862971127399], [2.404488321576934, 48.8630577194798], [2.4043261478621085, 48.86317750506273], [2.404272852814479, 48.8632190501552], [2.404108175090203, 48.86335507405861], [2.403963980157172, 48.863474750789294], [2.404036176461545, 48.86366604039234], [2.404128152352023, 48.86390974304105], [2.4042697032182603, 48.86428479817119], [2.404331410185855, 48.86444827260304], [2.404158899406532, 48.86468245639118], [2.40326459263566, 48.86588626337303], [2.40226025301958, 48.867238128717716], [2.4021138456031017, 48.86743524280676], [2.401684921188219, 48.86801247073495], [2.4015303550379032, 48.868220461164206], [2.401410770996535, 48.8683321184432], [2.401326546296004, 48.86841077591338], [2.40070477577579, 48.86913000272794], [2.4005959816838085, 48.86925378224111], [2.4005222457609787, 48.86933766280395], [2.399273590438799, 48.8707673902338], [2.399251263958936, 48.870785930397176], [2.3983383811735055, 48.8718333603924], [2.3979179857803774, 48.87229932317281], [2.3979146506287106, 48.8723590401795], [2.3979129083830744, 48.87245786824549], [2.397903560491462, 48.87298584716945], [2.3978917497498973, 48.873807059026035], [2.3979151842260347, 48.87413393153413], [2.397922209988307, 48.874298679662026], [2.397897018019643, 48.87532917871551], [2.3978869484436807, 48.87545248940736]], ""type"": ""LineString""}";true;personne;;;
Route de la Demi Lune;"{""coordinates"": [[2.4419916930588395, 48.82217654574813], [2.437564077665873, 48.82520202362732], [2.437253705586797, 48.82534627026542]], ""type"": ""LineString""}";true;batiment;;;
Rue de Magdebourg;"{""coordinates"": [[2.290303802410632, 48.86402563059447], [2.288778947666245, 48.864926074183266], [2.288676520906266, 48.86496793279204]], ""type"": ""LineString""}";true;siège;;;
