L_LONGMIN;Geometry;display;catégorie;;;
Place de Narvik;"{""coordinates"": [[2.3127618970446417, 48.87633729608675], [2.3129834692151596, 48.87639744762332], [2.3129674780794116, 48.87656989399392], [2.3129015356652904, 48.87667883013747], [2.312753438826353, 48.876697243847815], [2.3124993066673327, 48.87659367370558], [2.3125733857250554, 48.876454045094285], [2.3127618970446417, 48.87633729608675]], ""type"": ""LineString""}";true;bataille;;;
Port Debilly;"{""coordinates"": [[2.296345997088694, 48.863322716313085], [2.2961919657328886, 48.86318948003353], [2.296220908251966, 48.863111514595666], [2.2944494891839087, 48.862548108958514], [2.2942835407194253, 48.86247503843167], [2.294025513690855, 48.8623457995919], [2.2938033186647657, 48.8622068607593], [2.2913689983677465, 48.86028259537354]], ""type"": ""LineString""}";true;personne;;;
Route du Grand Maréchal;"{""coordinates"": [[[2.447330189343918, 48.84364332495855], [2.447451688149388, 48.843873608006646], [2.4474523745245618, 48.8438911215836], [2.448127405392325, 48.843795371568], [2.448841566293451, 48.84364815716643], [2.4494413112840805, 48.843514783664126], [2.4497497399385515, 48.84339773087919], [2.4500649956792757, 48.84324174868386], [2.450185934215465, 48.843114173670756], [2.4502862146070683, 48.84303062588998], [2.4504907924919954, 48.84288305549762], [2.4510138666299244, 48.84260095546208], [2.4512945342452443, 48.84248619949446], [2.451613385743647, 48.842375997760904], [2.4518351477121243, 48.84229107185311], [2.4521011126117545, 48.8421514424156], [2.4522335866580165, 48.84211439311543], [2.4525698216550658, 48.84202477369007], [2.4529338654811146, 48.84197403367073], [2.4532494269353573, 48.841950825042034], [2.4535510479309734, 48.84189786421801], [2.454015493849991, 48.84176918277914], [2.4544314032136247, 48.8416497124152], [2.454635936534931, 48.84160371671857], [2.455045078720658, 48.841555217402764], [2.455371012628548, 48.84152740976676], [2.4556171802415525, 48.84148823017939], [2.4558840823035943, 48.84142843226334], [2.456337974950058, 48.841277290874245], [2.456427805350673, 48.841226372924226], [2.456594506282122, 48.841153464148526], [2.456773808439744, 48.84109508297887], [2.4571639322875276, 48.84098036949563], [2.4575572467770863, 48.84088228028786], [2.45787507665998, 48.840819597076965], [2.4581425615799297, 48.84076736932296], [2.4583030948871762, 48.84075264545843], [2.4584888300307286, 48.840746210599605], [2.4587628050003714, 48.840770860709995], [2.4590965551645163, 48.84078088717492], [2.459458579658845, 48.84076179345641], [2.459716646815834, 48.84072411616073], [2.4600407730477674, 48.84065829890504], [2.460333348276226, 48.84057486397291], [2.460695122355309, 48.840456008944585], [2.461225423457178, 48.84022228189278], [2.4614026531334154, 48.8401394939296], [2.461503562372856, 48.84008904472582], [2.4616572696343795, 48.84001993760345], [2.4620815593384764, 48.839783750986726], [2.4622845886253235, 48.839688028063605], [2.462597473144723, 48.83955003401454], [2.4631335521193445, 48.83937400002737], [2.4634446580723055, 48.839286611496696], [2.4638728243387686, 48.83914107289693], [2.464531648183559, 48.83888583680299], [2.4649203184834647, 48.838731573741214], [2.465449361912798, 48.83840965825707], [2.4658377904859656, 48.83819461259657], [2.4673566374900355, 48.837338254959064], [2.4675246942142195, 48.8372192538083], [2.467774368475835, 48.83698450859]], [[2.4474523745245618, 48.8438911215836], [2.4472535542650133, 48.84401752454821], [2.446874399005382, 48.84430392481484], [2.4466822154233356, 48.84445563828891], [2.446554878183833, 48.84460468358229], [2.446506658876066, 48.84473395828876], [2.446480469159003, 48.84483919626862], [2.446475500711042, 48.84492467472006]]], ""type"": ""MultiLineString""}";true;troupes;grade;;
Rue Pache;"{""coordinates"": [[[2.381952052732502, 48.85819821560132], [2.3821141287595884, 48.85824947897147], [2.3821900860827414, 48.85815301146069]], [[2.3821141287595884, 48.85824947897147], [2.382824286286951, 48.85937055485207]]], ""type"": ""MultiLineString""}";true;personne;;;
Rue du Général Humbert;"{""coordinates"": [[2.3067005886598047, 48.8268933012235], [2.3076159076264706, 48.82659372343151], [2.308416944328733, 48.82650166619304], [2.3084911181166836, 48.826379104944245]], ""type"": ""LineString""}";true;personne;;;
Rue Dunois;"{""coordinates"": [[2.3715554641110357, 48.8295916828424], [2.3704304802476233, 48.83034004156371], [2.3698688491514317, 48.83070567285229], [2.3695258881770616, 48.83093436504231], [2.3691749506545396, 48.8311690399264], [2.3682596364518678, 48.83176781182269], [2.367647879887287, 48.83217077923656], [2.365739111028175, 48.83343897248674], [2.365141745225289, 48.83383722735367]], ""type"": ""LineString""}";true;personne;;;
Rue Doudeauville;"{""coordinates"": [[2.3598987368995807, 48.8890640707199], [2.3582109439479284, 48.88890191734441], [2.356287222680497, 48.888725908425904], [2.3560485721067836, 48.8887041925564], [2.3545799553100504, 48.888570982463484], [2.353563146209097, 48.88847850559539], [2.3516386416326522, 48.88830432409868], [2.3515260744783864, 48.88829246395295], [2.351449427496145, 48.888294944653865], [2.3495837107258515, 48.888353596056675], [2.3479950207634084, 48.88840492281098]], ""type"": ""LineString""}";true;personne;;;
Boulevard Sérurier;"{""coordinates"": [[[2.4065364485931537, 48.87740482578092], [2.4063724983707893, 48.877599212329606], [2.406191998074006, 48.87771433959704], [2.405970562304843, 48.877798650302566], [2.4057158118241957, 48.87784628245775], [2.4038617434967127, 48.8781983965384]], [[2.4065364485931537, 48.87740482578092], [2.4065789232268835, 48.87724185300839], [2.4067322777711984, 48.87718628809188], [2.4066626565351945, 48.87733614006206], [2.4065364485931537, 48.87740482578092]], [[2.4038617434967127, 48.8781983965384], [2.4037019738263194, 48.87818256404931], [2.4034178317471326, 48.87823295873995], [2.4032247703409717, 48.878326192200696]], [[2.4038617434967127, 48.8781983965384], [2.4037188119816464, 48.878270773164246], [2.403447688147429, 48.878329731423584], [2.4032247703409717, 48.878326192200696], [2.4027094593999956, 48.87843015677768], [2.402297159913781, 48.87853282583725], [2.402090278089958, 48.87855998671561], [2.4018171639268457, 48.878634049060075]], [[2.402297159913781, 48.87853282583725], [2.401975457638544, 48.878735744588305]], [[2.4018171639268457, 48.878634049060075], [2.401975457638544, 48.878735744588305]], [[2.4018171639268457, 48.878634049060075], [2.401623809007355, 48.87871328490495], [2.4015859108707387, 48.87875774714333], [2.401374554659158, 48.878852594876165], [2.4012677626903898, 48.878840918144824], [2.4002504542914918, 48.87933550191582], [2.3997079865629156, 48.87958436116837], [2.3995853362226103, 48.87963650069917], [2.39881309149315, 48.87996817351016], [2.398760723846054, 48.88003735662899], [2.398588915125601, 48.88017103311409], [2.398117197531927, 48.880434162037844], [2.398035442643605, 48.88048104663228], [2.3976035827063833, 48.880694101483], [2.3973048646593544, 48.88088531492325], [2.3971327721752806, 48.88099699926853], [2.396833832937423, 48.881172867863455], [2.396690030711708, 48.881325910237145], [2.3961954468787368, 48.88186124131838], [2.3961359782665026, 48.881966126622736], [2.39611643222389, 48.88203718274978], [2.3961561843357733, 48.88233441277038], [2.3961237465274254, 48.88245534343666], [2.3960583032024196, 48.88257327471531], [2.3959842244572633, 48.8826538853187], [2.3958589804563544, 48.88271824768323], [2.3954340068286735, 48.882867845749146], [2.395295125877607, 48.88291808219236], [2.395170718481354, 48.882985424822884], [2.395049118621136, 48.88313151747612], [2.394975095656601, 48.88326815569437], [2.3949249061154214, 48.88337565924496], [2.3948060210916253, 48.88373388919153], [2.3947610457464963, 48.88387725709503], [2.3945486769746327, 48.88452664705229], [2.3944187932308987, 48.88494019204454], [2.3943660156285373, 48.885761268662385], [2.394337004825289, 48.8861708986459]], [[2.401975457638544, 48.878735744588305], [2.401607102727573, 48.87894735960141]], [[2.394337004825289, 48.8861708986459], [2.3942275535740167, 48.88631397585779]], [[2.394337004825289, 48.8861708986459], [2.394398964139153, 48.88628173887218], [2.3943382416466643, 48.886348296405544]], [[2.3943695469154465, 48.88647656332931], [2.394321210297436, 48.886848809371216]], [[2.3940699065146718, 48.88661659178103], [2.394321210297436, 48.886848809371216], [2.3947454204107395, 48.88732526616302], [2.3953959846151993, 48.88811714134793], [2.395633596144267, 48.888158981246896], [2.395806644190297, 48.88815178765076]], [[2.3953959846151993, 48.88811714134793], [2.3957611599767348, 48.888551630237025], [2.3958204084684422, 48.88874380836328], [2.395872858730484, 48.8889789126831], [2.39593033362177, 48.889044268509764], [2.3960121290471084, 48.889076337217304], [2.3961107205350776, 48.889093615811774]], [[2.3957611599767348, 48.888551630237025], [2.395681347892402, 48.88904909156793], [2.395785783017581, 48.88919270952048]], [[2.3955991248595017, 48.889919785344375], [2.39544023703901, 48.89009174263191], [2.394800641988961, 48.89271645661438], [2.394651686836308, 48.893291842581974], [2.3946151386376267, 48.89365395678004], [2.3947225739281524, 48.89338870664847], [2.3947983762838603, 48.89308737775386], [2.394873643748808, 48.8928672004667]], [[2.3946151386376267, 48.89365395678004], [2.3943346623219064, 48.89477054208038], [2.3940532045982796, 48.89539266800055], [2.3939279682811327, 48.89561053199163], [2.3938401597451007, 48.895739193308636]]], ""type"": ""MultiLineString""}";true;personne;;;
Avenue du Général Dodds;"{""coordinates"": [[2.404716500470286, 48.83424726685115], [2.405173602405367, 48.83383810861173], [2.4057082045480755, 48.83335202419004], [2.4057489126576073, 48.833323158969584]], ""type"": ""LineString""}";true;personne;;;
Avenue du Général Dubail;"{""coordinates"": [[2.2717527136758817, 48.8538466622724], [2.271577508234894, 48.85371077252425], [2.2711607939772396, 48.85344992029805]], ""type"": ""LineString""}";true;personne;;;
Rue du Général Estienne;"{""coordinates"": [[2.283610292254857, 48.84442310029929], [2.2842908716091865, 48.84414103999787], [2.2843690499604596, 48.844126776037704]], ""type"": ""LineString""}";true;personne;;;
Rue Desaix;"{""coordinates"": [[2.295366628363706, 48.85470881596018], [2.294560715131684, 48.854095417485155], [2.2941639756490075, 48.85380515702806], [2.2937492830567567, 48.85344917192587], [2.293429585831557, 48.853191740474045], [2.293183867051903, 48.85298855382275], [2.2929813801032797, 48.852821479565165], [2.292668168317993, 48.852561718893234], [2.29189461423911, 48.85194563221789], [2.2918064010049597, 48.85187128159376], [2.291687394395154, 48.85178947277856]], ""type"": ""LineString""}";true;personne;;;
Rue Raymond Losserand;"{""coordinates"": [[2.323209431000982, 48.83680853614628], [2.3221872685324665, 48.83620360578189], [2.3218331444357307, 48.83599168542766], [2.321702131662798, 48.835913524716204], [2.3211565065797464, 48.83558710546574], [2.3203163094578207, 48.83510229456919], [2.319558023435227, 48.834698581177264], [2.31890324572257, 48.83438985034754], [2.318612636114156, 48.83423603033612], [2.3181159018684743, 48.8339731009337], [2.3180664459734603, 48.83391916239767], [2.3176613041644916, 48.83369810634669], [2.3174724092435914, 48.8335945809976], [2.317125958008514, 48.833411235895014], [2.316230510661007, 48.8329387876328], [2.315671328596013, 48.832626816486844], [2.3150915853495198, 48.832315660208685], [2.3141494740008617, 48.83181538960134], [2.3122888127189793, 48.83094018970523], [2.311762894950001, 48.83068954830773], [2.310903199271091, 48.830286660079544], [2.309203076263666, 48.82951011553752], [2.3084528744348902, 48.8291595556532], [2.307725331843378, 48.82881855653423], [2.307585741313597, 48.82877993858568], [2.307366117899451, 48.828652367185946], [2.306315169033688, 48.828144018133464], [2.3057931016878266, 48.82790205986378], [2.3055158951495502, 48.82774366170238]], ""type"": ""LineString""}";true;résistant;;;
Place Marie-Claude Vaillant-couturier et Pierrre Villon;"{""coordinates"": [[2.3559281522359923, 48.85430109645447], [2.3557099370336942, 48.854250879968674], [2.355208800513653, 48.85444768395606]], ""type"": ""LineString""}";true;personne;;;
Cour d'Alsace-Lorraine;"{""coordinates"": [[[2.3888642758047522, 48.84537008155715], [2.38907318477678, 48.84547553690089], [2.3893318266430974, 48.84559298233739], [2.3898864945744642, 48.84586133832186]], [[2.3893318266430974, 48.84559298233739], [2.3894218942271546, 48.84551180743494], [2.389972607040022, 48.845785080323346], [2.3898864945744642, 48.84586133832186], [2.3905836586285845, 48.84619862475248]]], ""type"": ""MultiLineString""}";true;victime;;;
Rue Camille Blaisot;"{""coordinates"": [[[2.328759194743502, 48.89898028202362], [2.328691709847577, 48.90018554790727], [2.328776847060597, 48.900315266039755], [2.328131525143041, 48.900300729931274]], [[2.328776847060597, 48.900315266039755], [2.328773407856623, 48.90044340852535]]], ""type"": ""MultiLineString""}";true;victime;;;
Place de la Bastille;"{""coordinates"": [[[2.368474324657757, 48.852996467834195], [2.368588412205816, 48.853258133963536], [2.3686981498587882, 48.85344360183764], [2.3688285190129257, 48.85355167224624], [2.3690384317843582, 48.85359050715938], [2.369395692499545, 48.85354632571681], [2.369609840385802, 48.85342775935969]], [[2.369705928659566, 48.85324573303365], [2.369677713490947, 48.85313117779452], [2.369526761993806, 48.85278455447931], [2.369446406788489, 48.85257981608806]], [[2.369609840385802, 48.85342775935969], [2.3697021280193673, 48.853324460295084], [2.369705928659566, 48.85324573303365], [2.369990688375616, 48.8532507311876], [2.3701388580946516, 48.853240449215946], [2.3702175358453643, 48.85320090513163], [2.3702805797960456, 48.85325737450502], [2.3703210167379605, 48.853313643932715], [2.370083094954731, 48.85332351662028], [2.3699418355778246, 48.85333371799537], [2.369799947831507, 48.85334290861993], [2.369609840385802, 48.85342775935969]]], ""type"": ""MultiLineString""}";true;batiment;;;
Rue du Colonel Rozanoff;"{""coordinates"": [[2.3889093453459185, 48.84534040816104], [2.3887728714846683, 48.84533978292918], [2.388241810139639, 48.84534002739077], [2.387216516930701, 48.84534998825079], [2.387164957350313, 48.845450596031824], [2.3871653211592494, 48.846264407761495], [2.3876844679069738, 48.846268873639175], [2.38780228990625, 48.846272939127644]], ""type"": ""LineString""}";true;personne;;;
Place de l'Amiral de Grasse;"{""coordinates"": [[2.2952173792666737, 48.867451743318604], [2.2954861292407602, 48.86784656535393]], ""type"": ""LineString""}";true;personne;;;
Rue du Commandant Rivière;"{""coordinates"": [[2.310034855010203, 48.87282342607806], [2.3082123804917978, 48.87267460642371]], ""type"": ""LineString""}";true;personne;;;
Avenue du Maréchal Lyautey;"{""coordinates"": [[2.2607739487369347, 48.85335275325729], [2.2605428291305945, 48.85299783048987], [2.2602421350915156, 48.852519390106856], [2.259972205873055, 48.85209946277022], [2.2596873260216075, 48.851664530673084], [2.259386488588622, 48.85120110597559], [2.2591630164721455, 48.85084736027649], [2.2588578422138164, 48.85038098406006], [2.258647391925188, 48.85006266283385], [2.2585750494781176, 48.84992710282177], [2.258349809697062, 48.84947043868499], [2.2582041601774536, 48.84917638723947], [2.2581168227398485, 48.84891689105334]], ""type"": ""LineString""}";true;personne;;;
Place Charles Fillion;"{""coordinates"": [[[2.3167373485494753, 48.886515965956185], [2.3169966809589053, 48.886649512193216], [2.317345619755121, 48.886902055474195], [2.317676385652151, 48.88712007675775]], [[2.317895347819816, 48.88728449869021], [2.316728286032894, 48.8879975148044], [2.31565154008013, 48.88863391805969]]], ""type"": ""MultiLineString""}";true;personne;;;
Avenue Denfert-Rochereau;"{""coordinates"": [[[2.3329022085182585, 48.83483836109557], [2.3328250704698528, 48.834817146394435], [2.3327672083298356, 48.834749226932956], [2.3325872073262075, 48.834592190845825], [2.3324121687007415, 48.83453177459044]], [[2.3329022085182585, 48.83483836109557], [2.332911851475243, 48.83477894849423], [2.3328154324209436, 48.83466435251725], [2.332597919964426, 48.834450320909255]], [[2.3366418128762745, 48.83862416859962], [2.3363633767412053, 48.838440358408185], [2.3355714644958065, 48.83766842389069], [2.333100035951366, 48.83511534615352], [2.3329022085182585, 48.83483836109557]]], ""type"": ""MultiLineString""}";true;personne;;;
Rue Claude Decaen;"{""coordinates"": [[[2.402188813070041, 48.8334218498573], [2.4017367135813212, 48.83371745912778], [2.4013704544312557, 48.83408263946945], [2.4013066506282343, 48.83414599515365], [2.4007752170087238, 48.83464961328492], [2.4006252359640996, 48.8348000719561]], [[2.4005087059251315, 48.83472138714945], [2.4006252359640996, 48.8348000719561], [2.4005344216450557, 48.83491496032299], [2.3996661953119935, 48.83577812333325], [2.399615947683289, 48.835818603311], [2.3995557744264064, 48.835852629972], [2.398997796391097, 48.83628988623675], [2.398444969792086, 48.83672147271405], [2.397843567156674, 48.83718225712496], [2.3977968167778325, 48.83724762128538], [2.3977046826355157, 48.837230573154], [2.3971937582704475, 48.8375960995456], [2.3971077217828007, 48.83767612289717], [2.396693053419375, 48.83816335717041], [2.3966128721949116, 48.83833413729839]], [[2.3977968167778325, 48.83724762128538], [2.3977005729557463, 48.83733862887106], [2.397365907988645, 48.837640280262505], [2.3972362556282727, 48.83772070451603], [2.3971714624493097, 48.83781459519372], [2.3966128721949116, 48.83833413729839], [2.3964114796055744, 48.8385396507032], [2.396300759030067, 48.83867558809042], [2.3962132190871053, 48.838725168752504], [2.3960780170738563, 48.83890671487442], [2.395840042973854, 48.839226980914596], [2.3957212417336287, 48.83936511629327]]], ""type"": ""MultiLineString""}";true;personne;;;
Rue Edouard Detaille;"{""coordinates"": [[[2.305541807743799, 48.88249309564377], [2.305124067703448, 48.88285458752147], [2.3050077318726285, 48.88294589617328]], [[2.305124067703448, 48.88285458752147], [2.3059580236159705, 48.883481512187295], [2.3059527844268386, 48.883564598239715]]], ""type"": ""MultiLineString""}";true;personne;art;;
Rue Bessières;"{""coordinates"": [[2.3156511860504816, 48.89438140206559], [2.315667841898189, 48.89441961958585], [2.316235384475743, 48.895139388489596], [2.3162728999175095, 48.895343461248814]], ""type"": ""LineString""}";true;personne;;;
Parvis Claire Heymann et Maria Errazuriz;"{""coordinates"": [[2.398189907878861, 48.84279670176368], [2.398133143213506, 48.84296662870409], [2.3975856194420886, 48.842900863777686]], ""type"": ""LineString""}";true;résistant;;;
Rue du Général Anselin;"{""coordinates"": [[2.278594036162377, 48.87495470783359], [2.2785216641781005, 48.87526485990513], [2.278454347817927, 48.875359613673766], [2.278344223844554, 48.87544813769954], [2.278137949456613, 48.87556817040751], [2.278022778353604, 48.875644009935066], [2.277948762904584, 48.87567801734075], [2.277830384662563, 48.875732405991165], [2.27770644876837, 48.8757893510972], [2.277685567547461, 48.87580164502755], [2.2775529420765737, 48.87590311796615], [2.2775402383031356, 48.87591957121857], [2.2774753797177487, 48.87600110090372], [2.277455258457956, 48.87606966226198], [2.2774419912884243, 48.87611492704172], [2.277423158701012, 48.87628223499069], [2.277380408090237, 48.87630626817698], [2.277361512217929, 48.876371005699994], [2.27731543761706, 48.87649112252933], [2.2772539670342082, 48.8765829070278], [2.277157609228294, 48.876660639956064], [2.276975092039682, 48.87674535296086], [2.276693877269131, 48.87681597924542], [2.2765595454565513, 48.87686328232281]], ""type"": ""LineString""}";true;personne;;;
Place des Tirailleurs sénégalais;"{""coordinates"": [[2.344779897312083, 48.897567761549624], [2.3449490531086115, 48.89766163145277], [2.344819579435041, 48.897824374304996]], ""type"": ""LineString""}";true;troupes;;;
Route des Batteries;"{""coordinates"": [[[2.419441863922039, 48.82801182907459], [2.4195651904321873, 48.82796821474648], [2.4197586920546135, 48.82809873470061], [2.419977717372026, 48.82827006552129], [2.4204609901880714, 48.82860721603578], [2.4209389609529053, 48.8288654912538], [2.42145268874528, 48.82908498586548], [2.4220541272986833, 48.829293974787916], [2.422326299980555, 48.8293858559912]], [[2.4234275111324437, 48.82937720279064], [2.423479462224737, 48.82948346159523], [2.424405103688601, 48.82962618870404], [2.4247653541832523, 48.82969173201393], [2.4254729654767604, 48.82985053485917], [2.4261655105330955, 48.83003695266914], [2.426828989120786, 48.83026314097463], [2.4274467880984876, 48.83053980409292], [2.4277321654517725, 48.83069848693051], [2.427992313873761, 48.830857336194754], [2.4283446658736483, 48.83111637418163], [2.428579950743078, 48.83128325149328]]], ""type"": ""MultiLineString""}";true;batiment;;;
Place Mazas;"{""coordinates"": [[2.3679082779861162, 48.84559222279102], [2.3678461647437077, 48.84569815381693], [2.3676590811438167, 48.84585364450696], [2.3672948180205875, 48.84564488414837], [2.3674525827269584, 48.84561249609142], [2.3677254352780364, 48.84558914311269], [2.3679082779861162, 48.84559222279102], [2.3675324484789435, 48.845692106862764], [2.3672948180205875, 48.84564488414837], [2.366880216812166, 48.84540514313841]], ""type"": ""LineString""}";true;personne;;;
Rue Yéo Thomas;"{""coordinates"": [[2.363434262013733, 48.8317835348717], [2.3611232635775043, 48.83100859123243]], ""type"": ""LineString""}";true;personne;;;
Rue Molitor;"{""coordinates"": [[[2.2667596363975835, 48.845089940694336], [2.2662024790067283, 48.84511122121895], [2.265173782941211, 48.84515051407463], [2.2641919217972153, 48.84517515663281], [2.2634681302707995, 48.84519601100356], [2.2618849766706393, 48.84523859704201], [2.260479747460405, 48.84527498622355], [2.2586701289430056, 48.84531666026115], [2.2584470595602677, 48.84532648391523], [2.2577827902655296, 48.84535453504041], [2.2575247500799187, 48.84535417499342]], [[2.2670084262491086, 48.84532644338545], [2.266841088066889, 48.84529579278731], [2.2662024790067283, 48.84511122121895]]], ""type"": ""MultiLineString""}";true;personne;;;
Terrasse du Commandant Jacques Blasquez;"{""coordinates"": [[2.3650683991664323, 48.86725850146147], [2.364888902002531, 48.86711790837128], [2.364426799728008, 48.86739078873559]], ""type"": ""LineString""}";true;personne;;;
Avenue Pierre Loti;"{""coordinates"": [[[2.297868283681044, 48.85577463666669], [2.299045114819694, 48.854995093226485], [2.2999168876073246, 48.85442838522975], [2.3027362409749403, 48.85264502436858]], [[2.2932142593538023, 48.85884009704781], [2.2939046418310545, 48.8583455431248], [2.29411437467432, 48.85808020251235], [2.2943768624999556, 48.85791978563788], [2.2946520444004728, 48.8578837339694], [2.294940921233647, 48.85762628699265], [2.2962942568482734, 48.856760052050305], [2.297445600911965, 48.85604662150896]]], ""type"": ""MultiLineString""}";true;personne;;;
Rue Pégoud;"{""coordinates"": [[2.266891590951628, 48.835416015601616], [2.2669237909239772, 48.83490695874027], [2.2669409976329233, 48.83477909181433], [2.2669616550782523, 48.83459571846035]], ""type"": ""LineString""}";true;personne;;;
Passage de Pékin;"{""coordinates"": [[2.3829580941597435, 48.87143941473261], [2.3832455252039555, 48.87159802811882], [2.38330961452051, 48.87155890444942], [2.383395653854276, 48.871503597846626], [2.383107022618791, 48.871225312916984]], ""type"": ""LineString""}";true;guerre;;;
Rue d'Artagnan;"{""coordinates"": [[2.3855671560287908, 48.845446213855276], [2.387164957350313, 48.845450596031824]], ""type"": ""LineString""}";true;personne;;;
Square Dunois;"{""coordinates"": [[[2.365739111028175, 48.83343897248674], [2.3661145614720884, 48.833678090365915], [2.366314593265359, 48.8335502618294], [2.3665658768518876, 48.83370477330748], [2.3667964097366867, 48.83356127661905], [2.3670238393632688, 48.833704652571996], [2.3672451201753795, 48.83356681705072]], [[2.3661145614720884, 48.833678090365915], [2.3659932391535654, 48.83377162018687], [2.366015313535132, 48.833795885234274]]], ""type"": ""MultiLineString""}";true;personne;;;
Villa d'Eylau;"{""coordinates"": [[2.2892268177722688, 48.87131794578013], [2.288860165055195, 48.8716953996166], [2.2887625049455758, 48.871795564001104]], ""type"": ""LineString""}";true;bataille;;;
Avenue Mac-Mahon;"{""coordinates"": [[2.294924203241817, 48.874492904867935], [2.2947896635543, 48.8752762215681], [2.2945363661492135, 48.876629073775895], [2.2944848238626867, 48.87701683538613], [2.2944334034827074, 48.87736232858503], [2.294369324983848, 48.8776880065407], [2.29433098564162, 48.87794849009418], [2.294247625756592, 48.8784090000001], [2.2942669828370663, 48.87845664418488], [2.294275527442034, 48.87863508743624]], ""type"": ""LineString""}";true;personne;;;
Place Marc Bloch;"{""coordinates"": [[2.4021326707175854, 48.85449097407166], [2.401660645078966, 48.85428410281069]], ""type"": ""LineString""}";true;résistant;histoire;;
Allée Maria Doriath;"{""coordinates"": [[2.398413696594529, 48.851370161550186], [2.3982848562247456, 48.85141757501388], [2.397134878342683, 48.85290780222186], [2.3971175014377075, 48.85302802072518]], ""type"": ""LineString""}";true;résistant;politique;;
Rue Gabriel Laumain;"{""coordinates"": [[2.350374015026387, 48.87330322782352], [2.3481606993882083, 48.87343251759582], [2.347908672231303, 48.873447297023965]], ""type"": ""LineString""}";true;résistant;syndicat;;
Rue Pernety;"{""coordinates"": [[2.3205257391459115, 48.83242211292324], [2.320465218734271, 48.832486389086775], [2.319336982365297, 48.83320853809095], [2.3181159018684743, 48.8339731009337], [2.316852973769575, 48.83476370063637], [2.316057965791694, 48.835166536891364], [2.3155355333394887, 48.83541985142868], [2.3154697489010245, 48.8354630405317]], ""type"": ""LineString""}";true;personne;;;
Rue Quentin-Bauchart;"{""coordinates"": [[2.2989130266825852, 48.86855755712618], [2.3003903801543872, 48.869523042928144], [2.3010112906823954, 48.869929982058224], [2.3011130252414733, 48.87002504335401], [2.30120763556333, 48.87006889022089], [2.3013227807508474, 48.87007994983912], [2.3013648102784874, 48.87013286081799], [2.301378410770756, 48.870219646060434], [2.301868696440567, 48.870569267112664], [2.302492319301194, 48.8712519078205], [2.302577546528247, 48.87138179306013]], ""type"": ""LineString""}";true;victime;;;
Cité de Gênes;"{""coordinates"": [[2.383689881435605, 48.87031940969085], [2.3831720534474528, 48.87063463994341], [2.382781750883535, 48.87062356264582], [2.382637735067074, 48.87057273585442], [2.3824722173469217, 48.87058426590959]], ""type"": ""LineString""}";true;siège;;;
Place des Généraux de Trentinian;"{""coordinates"": [[2.2772018861033705, 48.87237967002887], [2.2764858245360684, 48.8720047414817], [2.2763634109024298, 48.87177698851096]], ""type"": ""LineString""}";true;personne;;;
Rue de Buzenval;"{""coordinates"": [[2.4027708866155684, 48.848896675061155], [2.4024282906279173, 48.84966025950746], [2.402332715658509, 48.849862756915684], [2.402268090905682, 48.849942638297684], [2.402200870500617, 48.85001237097415], [2.401798452115041, 48.85092150183471], [2.4014008212169036, 48.85176499303095], [2.4013772275513627, 48.85185546658025], [2.4008360110366227, 48.85284577516621], [2.40079267663301, 48.852948578680035], [2.3999133045654677, 48.85402721318644], [2.3998738467502028, 48.85409374698591], [2.3991519037536473, 48.85477767603519], [2.3990762236018206, 48.85483909022032], [2.3987844586167357, 48.85505759622009], [2.398694965719464, 48.85509235601849]], ""type"": ""LineString""}";true;bataille;;;
Villa Chanez;"{""coordinates"": [[2.2599764993183746, 48.8475191627368], [2.2603657955232106, 48.847432901415104], [2.260692668938047, 48.84744433815134]], ""type"": ""LineString""}";true;personne;;;
Rue Louise Thuliez;"{""coordinates"": [[2.3938077410317335, 48.87751500501765], [2.393995185292237, 48.87749325493983], [2.394955638871891, 48.87756514914716], [2.3951158430539743, 48.87756901645733], [2.395335804403476, 48.87761315163352], [2.395580871178052, 48.87769223522168]], ""type"": ""LineString""}";true;résistant;!!!;;
