N_SQ_VO;C_COINSEE;C_DESI;C_LIAISON;L_VOIE;L_COURTMIN;L_LONGMIN;C_VOIE;B_FANTOIR;B_OFF;C_VOIE_VP;Geometry;OBJECTID;C_DOMOFF;N_SQ_CO;LENGTH;Geometry X Y
750003848;75056;RUE;;CHANGARNIER;R. Changarnier;Rue Changarnier;750561744;O;O;1748;"{""coordinates"": [[2.4109506587703637, 48.84540379244117], [2.412135524978596, 48.845243932345], [2.412388760594557, 48.84522534565287], [2.4121456359634554, 48.84529464269437], [2.410956879143366, 48.84545382720388], [2.4106765685379035, 48.8454577619124], [2.4109506587703637, 48.84540379244117]], ""type"": ""LineString""}";1998;P;750001537;;48.845349420408176, 2.411533853262007
750001945;75056;RUE;DE L';AUDE;R. de l'Aude;Rue de l'Aude;750560529;O;O;0506;"{""coordinates"": [[2.335090875387831, 48.826107078230976], [2.335120715146584, 48.82635203663593], [2.335207457986508, 48.826454463263474], [2.3346159283629957, 48.82650922829944], [2.333677783634961, 48.82663871357479], [2.332133731155078, 48.826868399514574], [2.3321116578828858, 48.8268752733949], [2.3320503537287727, 48.82687795291417], [2.3319170468131896, 48.826935838666]], ""type"": ""LineString""}";2066;P;750001537;;48.82662556065421, 2.3337165193405545
750004689;75056;RUE;;JUSSIEU;R. Jussieu;Rue Jussieu;750565130;O;O;4995;"{""coordinates"": [[[2.356966719843038, 48.84481530629384], [2.3559759034175736, 48.84550770905797], [2.3554471057006645, 48.84586229376927], [2.3552217449552733, 48.84604117613892]], [[2.354395181156914, 48.84661573502564], [2.3533791238694883, 48.847312799887376], [2.3531637346081173, 48.847385481900936], [2.352921059849542, 48.84739810968238], [2.3527345438952842, 48.84746539804053]]], ""type"": ""MultiLineString""}";2083;P;750001537;;48.84622036755925, 2.35491500247594
750003170;75056;RUE;;LOUIS DELAPORTE;R. Louis Delaporte;Rue Louis Delaporte;750565778;O;O;5719;"{""coordinates"": [[2.4128192913434567, 48.84780660870199], [2.4128875482962786, 48.84788767858176], [2.4131574604234416, 48.84841500714761], [2.4131721998788054, 48.84851589683795], [2.4130691400795548, 48.849112201319734]], ""type"": ""LineString""}";2123;P;750001537;;48.84843652869196, 2.4130623462670586
750005392;75056;PL;;AUGUSTE BARON;Pl. Auguste Baron;Place Auguste Baron;750560538;O;O;0514;"{""coordinates"": [[[2.38833417315038, 48.90015931333976], [2.3884339760366733, 48.90025386409061], [2.3884971061179154, 48.90036410037122], [2.3885083897628467, 48.900450959587566], [2.388522971496122, 48.900576398132365]], [[2.3872130932637727, 48.90015999468601], [2.387488991652035, 48.899944168073795], [2.387666928043213, 48.8998425742945], [2.387734279860252, 48.89983143440513], [2.387816044372625, 48.89979175201998], [2.3879165646797276, 48.899775259784235], [2.38833417315038, 48.90015931333976]], [[2.3872130932637727, 48.90015999468601], [2.387388212837859, 48.90009502491275], [2.3875906482978393, 48.90004678687639], [2.3878196815797605, 48.90003575411502], [2.3880022675769292, 48.900061921960926], [2.388151687034307, 48.900099071568654], [2.38833417315038, 48.90015931333976]], [[2.3872130932637727, 48.90015999468601], [2.387572989615715, 48.90011121325647], [2.3877919360522264, 48.90010074949349], [2.3880751605935986, 48.90012828596049], [2.38833417315038, 48.90015931333976]], [[2.388522971496122, 48.900576398132365], [2.3889366707363373, 48.90082028055929]], [[2.388522971496122, 48.900576398132365], [2.3884813820741315, 48.90071563309637], [2.3883860432825714, 48.90085174274506]], [[2.3889366707363373, 48.90082028055929], [2.388727969031669, 48.90094779916172]], [[2.3889366707363373, 48.90082028055929], [2.3892122437997205, 48.90099343676283]], [[2.3889366707363373, 48.90082028055929], [2.389157414201045, 48.900742923660154], [2.3892460639666697, 48.900731459877726], [2.3892035140289356, 48.90085738035253], [2.3892122437997205, 48.90099343676283]], [[2.3883860432825714, 48.90085174274506], [2.3882258651636232, 48.900955667505265], [2.3880997464178213, 48.90100051940793], [2.387792885609933, 48.90104884507329], [2.3875174675563984, 48.90103215763489], [2.38738102840653, 48.901001108055766]], [[2.388727969031669, 48.90094779916172], [2.3883860432825714, 48.90085174274506]], [[2.3892122437997205, 48.90099343676283], [2.389344553337279, 48.90111729912114]], [[2.38738102840653, 48.901001108055766], [2.3870443870101306, 48.90095459094064], [2.386767789518021, 48.900954712868135], [2.3864841496284828, 48.90097829710056]], [[2.38738102840653, 48.901001108055766], [2.3871396157402107, 48.900882602727094], [2.3870576818587717, 48.90079629915537], [2.3869979730516975, 48.900693445023094], [2.3869782364531824, 48.90060758560777], [2.386962768421817, 48.90054266603165], [2.386966119127472, 48.900481691831295], [2.3869686445698646, 48.90042592941435], [2.3870273383298453, 48.900323024747905], [2.387121894936102, 48.900215339364316], [2.3872130932637727, 48.90015999468601]], [[2.389344553337279, 48.90111729912114], [2.389041854415309, 48.90110394743864], [2.388727969031669, 48.90094779916172]], [[2.389445346306454, 48.90121497458618], [2.389344553337279, 48.90111729912114]]], ""type"": ""MultiLineString""}";2143;P;750001537;;48.900557931259215, 2.388030501687348
750003718;75056;PAS;;COTTIN;Pas. Cottin;Passage Cottin;750562369;O;O;2362;"{""coordinates"": [[2.347075253382155, 48.88789405805217], [2.346176966499422, 48.88779286546972], [2.3459373693718413, 48.88776464906494], [2.34525646925978, 48.88768503354749], [2.3451873238694043, 48.88761156715859]], ""type"": ""LineString""}";2172;P;750001537;;48.88778308921558, 2.346116453307803
750003311;75056;RUE;;HITTORF;R. Hittorf;Rue Hittorf;750564641;O;O;4558;"{""coordinates"": [[2.358319213842654, 48.87183622997988], [2.357537484620948, 48.8721686320212], [2.357436988004812, 48.87219666455224]], ""type"": ""LineString""}";2228;P;750001537;;48.87202214441288, 2.3578800972519756
750003227;75056;COUR;DU;LIEGAT;Cour du Liégat;Cour du Liégat;750565664;O;O;5602;"{""coordinates"": [[[2.3725072486978758, 48.83067815557762], [2.3726723590367795, 48.83054298299068]], [[2.3725072486978758, 48.83067815557762], [2.3723569183786366, 48.83078726979362]], [[2.373541885380288, 48.83117405980581], [2.3725072486978758, 48.83067815557762]], [[2.373541885380288, 48.83117405980581], [2.373757695056593, 48.831065206077106]], [[2.373541885380288, 48.83117405980581], [2.3732745537679922, 48.83129652044232]], [[2.373711838717456, 48.83132622385628], [2.373541885380288, 48.83117405980581]]], ""type"": ""MultiLineString""}";2236;V;750001537;;48.830973006676075, 2.373110484020855
750003593;75056;RUE;;DULAURE;R. Dulaure;Rue Dulaure;750562978;O;O;3005;"{""coordinates"": [[2.4088895245821487, 48.86632946401803], [2.4101471163201174, 48.866420476056064], [2.41114038644932, 48.86650105538609]], ""type"": ""LineString""}";2253;P;750001537;;48.86641284446092, 2.410015140876394
750003942;75056;PAS;;BULLOURDE;Pas. Bullourde;Passage Bullourde;750561383;O;O;1377;"{""coordinates"": [[2.376124161366434, 48.85441789449787], [2.376373971429148, 48.854503645745424], [2.376992752730132, 48.85471598607776], [2.37783327744076, 48.85495937970565]], ""type"": ""LineString""}";2336;P;750001537;;48.85469905025271, 2.3769754269077503
